,Lon,Lat,Before_Ural,big_cities,close_to_border
69284,105.37074148296594,59.39759036144578,0,1.5873470909800626e-11,0.0008562627770190018
93838,121.60320641282566,66.285140562249,0,1.5873470909800626e-11,0.0008562627770190018
46633,59.97995991983968,53.0722891566265,0,0.00017336175883304634,0.04021991313212334
98513,23.90781563126253,67.69076305220884,1,1.5588123280863594e-10,0.04983356478784696
107693,78.01603206412827,70.22088353413655,0,1.5873470909800626e-11,0.0008562627770190018
52796,108.97795591182366,54.75903614457832,0,1.5873470909800626e-11,0.014505845971792141
77688,76.51302605210421,61.78714859437751,0,1.5873470909800626e-11,0.0008562627770190018
49210,83.12625250501003,53.77510040160642,0,1.5873470909800626e-11,0.029220121442976442
36804,111.38276553106212,50.261044176706825,0,1.5873470909800626e-11,0.10657208764740651
48749,94.8496993987976,53.634538152610446,0,1.5873470909800626e-11,0.029220121442976442
62502,20.60120240480962,57.570281124498,1,1.8257457262032549e-09,0.07240139780498454
9979,163.98797595190382,42.670682730923694,0,1.5873470909800626e-11,0.4986836316447867
112375,132.7254509018036,71.4859437751004,0,1.5873470909800626e-11,0.0008562627770190018
116746,93.94789579158318,72.75100401606426,0,1.5873470909800626e-11,0.0008562627770190018
114165,69.59919839679358,72.04819277108433,0,1.5873470909800626e-11,0.0008562627770190018
70713,84.02805611222445,59.81927710843374,0,1.5873470909800626e-11,0.0008562627770190018
94001,20.30060120240481,66.42570281124497,1,1.5588123280863594e-10,0.07240077286875354
29690,77.11422845691384,48.29317269076305,0,1.5873470909800626e-11,0.17689792393444786
16382,134.82965931863728,44.497991967871485,0,1.5873470909800626e-11,0.33443023084474377
70398,139.63927855711424,59.67871485943775,0,1.5873470909800626e-11,0.0008562627770190018
59704,81.32264529058116,56.72690763052209,0,1.5873470909800626e-11,0.0008562627770190018
84308,112.58517034068136,63.614457831325296,0,1.5873470909800626e-11,0.0008562627770190018
23713,84.02805611222445,46.60642570281125,0,1.5873470909800626e-11,0.23412290638932895
86422,146.85370741482967,64.17670682730923,0,1.5873470909800626e-11,0.005993532436799548
85053,35.93186372745491,63.895582329317264,1,1.6270601597585886e-10,0.01122461962547081
20527,28.11623246492986,45.76305220883534,1,2.5924407709414103e-10,0.3078191811576717
79796,108.97795591182366,62.34939759036145,0,1.5873470909800626e-11,0.0008562627770190018
68663,68.99799599198397,59.2570281124498,0,1.5873470909800626e-11,0.0008562627770190018
105088,46.45290581162325,69.51807228915663,1,2.3186222194865446e-10,0.0008562627770190018
22228,88.5370741482966,46.18473895582329,0,1.5873470909800626e-11,0.26529398175631935
32424,147.45490981963928,48.99598393574297,0,1.5873470909800626e-11,0.1540642620362008
74669,70.80160320641284,60.94377510040161,0,1.5873470909800626e-11,0.0008562627770190018
114694,78.31663326653307,72.18875502008032,0,1.5873470909800626e-11,0.0008562627770190018
53603,50.96192384769539,55.040160642570285,1,1.0346400346094523e-05,0.011887073300528274
17681,74.40881763527054,44.91967871485944,0,1.5873470909800626e-11,0.3163407575969901
74550,35.03006012024048,60.94377510040161,1,7.821117082939025e-08,0.01139084830862581
104630,59.07815631262525,69.37751004016064,1,5.953135932732527e-10,0.0008562627770190018
102422,146.85370741482967,68.67469879518072,0,1.5873470909800626e-11,0.005993532436799548
101945,153.7675350701403,68.53413654618474,0,1.5873470909800626e-11,0.01968985594028966
110965,159.77955911823648,71.06425702811245,0,1.5873470909800626e-11,0.04113831037381816
79325,117.69539078156312,62.20883534136546,0,1.5873470909800626e-11,0.0008562627770190018
121250,95.15030060120242,74.01606425702812,0,1.5873470909800626e-11,0.0008562627770190018
115175,72.60521042084169,72.32931726907631,0,1.5873470909800626e-11,0.0008562627770190018
85453,156.17234468937878,63.895582329317264,0,1.5873470909800626e-11,0.027144173757419572
71780,104.1683366733467,60.100401606425706,0,1.5873470909800626e-11,0.0008562627770190018
656,66.8937875751503,40.140562248995984,0,1.5873470909800626e-11,0.6133326513638495
100706,81.92384769539078,68.25301204819277,0,1.5873470909800626e-11,0.0008562627770190018
104977,163.3867735470942,69.37751004016064,0,1.5873470909800626e-11,0.06420287371955753
57601,50.360721442885776,56.16465863453816,1,1.0346400346094523e-05,0.0013239460931592465
67014,24.208416833667336,58.83534136546184,1,1.8257457262032549e-09,0.04678460805223974
2419,145.95190380761522,40.562248995983936,0,1.5873470909800626e-11,0.5670306934021248
97694,78.31663326653307,67.40963855421687,0,1.5873470909800626e-11,0.0008562627770190018
116362,128.81763527054107,72.61044176706827,0,1.5873470909800626e-11,0.0008562627770190018
9241,92.44488977955912,42.53012048192771,0,1.5873470909800626e-11,0.45284339457874795
16774,102.36472945891784,44.63855421686747,0,1.5873470909800626e-11,0.33443023084474377
10702,80.72144288577155,42.95180722891566,0,1.5873470909800626e-11,0.4317896125053599
76226,87.93587174348698,61.365461847389554,0,1.5873470909800626e-11,0.0008562627770190018
28289,106.87374749498998,47.8714859437751,0,1.5873470909800626e-11,0.19040678944535266
5242,92.74549098196394,41.40562248995984,0,1.5873470909800626e-11,0.5186125329719187
37079,43.74749498997996,50.40160642570281,1,3.0453820538984705e-10,0.10657208764740651
80044,33.22645290581163,62.48995983935743,1,4.1062138512150513e-07,0.016200164803771695
58293,108.07615230460922,56.30522088353413,0,1.5873470909800626e-11,0.0013239460931592465
29403,141.14228456913827,48.15261044176707,0,1.5873470909800626e-11,0.17689792393444786
32469,160.98196392785573,48.99598393574297,0,1.5873470909800626e-11,0.20065779892440955
20400,140.24048096192385,45.62248995983936,0,1.5873470909800626e-11,0.28204485080341546
